Product_Name,Order_Guide_Line_No,Product_Code,UPC_Code,Category,Unit_Of_Measure,Case_Weight,Case_Size_WxHxD,Unit_Weight,Unit_Size_WxHxD,Pallet_Qty,Country_Of_Origin,Availability,Unit_Price,Image_link
Mechanics Gloves,,99095,039593990955,Misc. Tools - All Others,48/EACH,8 lbs,"8.27"" x 19.29"" x 11.81""",,,"1,536 units",,,,http://p2.glwholesale.com/l/99095.jpg
"4"" PEG BOARD HOOK 100pc BAG",,92794,039593927944,Misc. Tools - All Others,10/EACH,42 lbs,"7.09"" x 12.60"" x 19.69""",,,520 units,,,,http://p2.glwholesale.com/l/92794.jpg
ALUMINUM LED FLASHLIGHT -- AAA,,92915,039593929153,Misc. Tools - All Others,12/EACH,5 lbs,"11.42"" x 21.65"" x 7.09""",,,576 units,,,,http://p2.glwholesale.com/l/92915.jpg
"20"""" Tool Bag",,91145,039593911455,Misc. Tools - All Others,4/EACH,22 lbs,"18.90"" x 21.65"" x 19.69""",,,48 units,,,,http://p2.glwholesale.com/l/91145.jpg
Color Magnetic Pick-Up,,90304,039593903047,Misc. Tools - All Others,48/EACH,11 lbs,"13.78"" x 14.57"" x 8.66""",,,"2,160 units",,,,http://p2.glwholesale.com/l/90304.jpg
"1/4""",,92510,039593925100,Misc. Tools - All Others,48/EACH,31 lbs,"9.45"" x 18.11"" x 14.17""",,,"1,440 units",,,,http://p2.glwholesale.com/l/92510.jpg
Double-Sided Organizer,,98192,039593981922,Misc. Tools - All Others,16/EACH,32 lbs,"12.99"" x 20.87"" x 25.20""",,,192 units,,,,http://p2.glwholesale.com/l/98192.jpg
"26"" BICYCLE INNER TUBE",,91730,039593917303,Misc. Tools - All Others,24/EACH,18 lbs,"12.60"" x 8.66"" x 13.78""",,,"1,296 units",,,,http://p2.glwholesale.com/l/91730.jpg
Jumbo Carabiner D Hook,,92645,039593926459,Misc. Tools - All Others,48/EACH,29 lbs,"8.66"" x 16.93"" x 11.42""",,,"1,440 units",,,,http://p2.glwholesale.com/l/92645.jpg
32PC Peg Board Hook Set,,92790,039593927906,Misc. Tools - All Others,48/EACH,44 lbs,"14.17"" x 13.39"" x 19.69""",,,960 units,,,,http://p2.glwholesale.com/l/92790.jpg
"12""x18"" MOVERS DOLLY",,91645,039593916450,Misc. Tools - All Others,4/EACH,8 lbs,"13.78"" x 20.08"" x 12.20""",,,84 units,,,,http://p2.glwholesale.com/l/91645.jpg
Furniture Rollers,,91625,039593916252,Misc. Tools - All Others,12/EACH,11 lbs,"9.06"" x 19.29"" x 8.66""",,,600 units,,,,http://p2.glwholesale.com/l/91625.jpg
